,gene,num AA changes,num identical before,num identical after,num similar before,num similar after,avgerage edit score diff
Kv_Eh,atpA,26.0,2,8,9,10,1.12
Kv_Eh,atpB,20.0,2,4,8,10,1.00
Kv_Eh,atpF,6.0,3,0,3,2,-1.33
Kv_Eh,atpH,2.0,2,0,2,1,-4.00
Kv_Eh,atpI,11.0,2,4,6,7,0.09
Kv_Eh,cbbX,21.0,2,11,8,14,2.10
Kv_Eh,chlI,11.0,0,1,3,3,1.73
Kv_Eh,clpC,14.0,3,1,6,5,-0.64
Kv_Eh,groEL,17.0,3,7,8,11,1.47
Kv_Eh,petA,44.0,3,10,12,17,1.20
Kv_Eh,petB,30.0,3,9,13,15,0.57
Kv_Eh,petD,29.0,3,10,10,14,1.17
Kv_Eh,psaA,20.0,3,5,10,5,-0.80
Kv_Eh,psaB,11.0,1,2,3,4,0.55
Kv_Eh,psaFJ,11.0,0,2,3,5,1.73
Kv_Eh,psbA,2.0,0,2,2,2,1.50
Kv_Eh,psbB,20.0,4,6,9,10,0.55
Kv_Eh,psbC,4.0,0,4,1,4,5.25
Kv_Eh,psbD,29.0,24,3,28,9,-5.07
Kv_Eh,psbE,9.0,0,2,4,5,1.33
Kv_Eh,psbF,0.0,0,0,0,0,0.00
Kv_Eh,psbH,12.0,1,6,4,8,2.50
Kv_Eh,psbI,6.0,1,0,1,0,0.17
Kv_Eh,psbL,3.0,0,0,1,0,-1.33
Kv_Eh,psbN,2.0,0,1,0,1,3.00
Kv_Eh,psbT,5.0,0,2,4,4,0.60
Kv_Eh,psbV,9.0,1,3,4,5,1.33
Kv_Eh,rbcL,11.0,2,2,2,5,0.18
Kv_Eh,rbcS2,6.0,2,2,3,3,-0.50
Kv_Eh,rpl14,13.0,4,5,9,7,-0.08
Kv_Eh,rpl16,13.0,3,3,6,7,1.00
Kv_Eh,rpl19,8.0,0,3,4,5,0.75
Kv_Eh,rpl20,7.0,0,3,2,3,2.14
Kv_Eh,rpl27,6.0,1,1,3,1,-0.83
Kv_Eh,rpl31,11.0,2,2,6,6,-0.82
Kv_Eh,rpl33,1.0,0,1,1,1,4.00
Kv_Eh,rpl36,6.0,1,2,1,3,2.00
Kv_Eh,rpl3,13.0,2,4,7,8,0.46
Kv_Eh,rpl5,20.0,6,2,8,10,-0.10
Kv_Eh,rpl6,12.0,1,6,5,7,2.25
Kv_Eh,rpoA,17.0,1,2,1,5,1.24
Kv_Eh,rpoB,7.0,0,3,2,3,1.57
Kv_Eh,rpoC1,18.0,4,1,7,4,-1.89
Kv_Eh,rpoC2,18.0,3,5,8,9,0.61
Kv_Eh,rps11,3.0,1,0,1,1,-1.33
Kv_Eh,rps12,3.0,1,2,1,2,1.00
Kv_Eh,rps13,17.0,4,3,8,9,0.29
Kv_Eh,rps19,5.0,2,1,3,3,-1.60
Kv_Eh,rps2,39.0,3,9,11,16,1.18
Kv_Eh,rps3,20.0,2,3,11,6,-0.20
Kv_Eh,rps4,13.0,0,3,2,4,1.54
Kv_Eh,rps5,16.0,4,2,5,10,0.94
Kv_Eh,rps7,10.0,2,2,2,4,0.50
Kv_Eh,rps8,8.0,1,4,4,6,1.88
Kv_Eh,rps9,3.0,0,0,1,0,-1.67
Kv_Eh,tufA,23.0,4,5,10,11,-0.04
Kv_Eh,ycf39,19.0,1,4,4,6,0.68
Kv_Eh,ycf3,10.0,1,3,3,5,1.40
Kv_Eh,ycf4,30.0,6,8,12,13,0.90
Kv_Pt,atpA,26.0,1,10,8,14,2.00
Kv_Pt,atpB,20.0,2,5,8,9,1.15
Kv_Pt,atpF,6.0,1,2,5,4,-0.17
Kv_Pt,atpH,2.0,2,0,2,1,-4.00
Kv_Pt,atpI,11.0,4,2,7,7,-0.55
Kv_Pt,cbbX,21.0,3,9,8,13,1.62
Kv_Pt,chlI,11.0,0,2,5,4,1.27
Kv_Pt,clpC,14.0,4,1,8,3,-1.86
Kv_Pt,groEL,17.0,4,6,10,13,1.53
Kv_Pt,petA,45.0,5,10,17,17,0.80
Kv_Pt,petB,30.0,3,12,13,17,1.13
Kv_Pt,petD,29.0,3,8,10,15,1.21
Kv_Pt,psaA,20.0,3,6,11,6,-0.30
Kv_Pt,psaB,10.0,1,2,4,4,-0.20
Kv_Pt,psaFJ,11.0,0,3,3,4,1.55
Kv_Pt,psbA,2.0,0,1,1,1,0.50
Kv_Pt,psbB,20.0,4,6,8,11,0.85
Kv_Pt,psbC,4.0,0,3,0,3,5.00
Kv_Pt,psbD,29.0,25,2,29,8,-5.38
Kv_Pt,psbE,9.0,0,3,5,6,1.33
Kv_Pt,psbF,0.0,0,0,0,0,0.00
Kv_Pt,psbH,12.0,1,6,5,8,1.92
Kv_Pt,psbI,6.0,2,0,3,1,-1.33
Kv_Pt,psbL,4.0,0,0,1,0,-1.00
Kv_Pt,psbN,2.0,0,0,0,1,1.00
Kv_Pt,psbT,5.0,0,1,4,4,0.40
Kv_Pt,psbV,9.0,2,2,3,4,1.33
Kv_Pt,rbcL,11.0,2,1,2,4,-0.36
Kv_Pt,rbcS2,6.0,2,1,4,2,-2.00
Kv_Pt,rpl14,13.0,3,5,9,6,-0.54
Kv_Pt,rpl16,13.0,1,6,4,8,2.69
Kv_Pt,rpl19,9.0,2,3,7,7,-0.11
Kv_Pt,rpl20,6.0,0,3,2,4,3.17
Kv_Pt,rpl31,11.0,2,3,6,7,0.18
Kv_Pt,rpl33,1.0,0,1,1,1,4.00
Kv_Pt,rpl36,5.0,1,2,1,2,2.20
Kv_Pt,rpl3,13.0,2,4,5,8,1.77
Kv_Pt,rpl5,20.0,6,2,10,9,-0.40
Kv_Pt,rpl6,12.0,2,3,5,6,0.67
Kv_Pt,rpoA,19.0,3,3,5,5,-0.42
Kv_Pt,rpoB,7.0,1,3,2,4,1.29
Kv_Pt,rpoC1,19.0,9,3,11,6,-2.37
Kv_Pt,rpoC2,17.0,4,5,7,8,0.65
Kv_Pt,rps11,3.0,1,0,2,1,-1.67
Kv_Pt,rps12,3.0,2,0,2,0,-4.33
Kv_Pt,rps13,17.0,4,4,9,7,0.29
Kv_Pt,rps14,3.0,1,1,1,2,1.33
Kv_Pt,rps16,5.0,1,2,2,3,1.20
Kv_Pt,rps19,5.0,3,0,3,3,-2.20
Kv_Pt,rps2,40.0,2,7,13,17,1.02
Kv_Pt,rps3,19.0,0,2,6,3,0.32
Kv_Pt,rps4,16.0,0,1,6,4,0.12
Kv_Pt,rps5,16.0,4,1,6,5,-0.25
Kv_Pt,rps7,10.0,2,2,2,3,0.10
Kv_Pt,rps8,7.0,2,2,3,4,1.00
Kv_Pt,rps9,3.0,0,0,0,0,-0.33
Kv_Pt,secY,34.0,2,8,11,12,1.12
Kv_Pt,tufA,24.0,5,5,10,9,-0.21
Kv_Pt,ycf39,19.0,4,0,6,7,-0.42
Kv_Pt,ycf3,9.0,1,3,3,7,2.33
Kv_Pt,ycf4,31.0,6,8,14,11,-0.06
Kv_Vb,atpA,26.0,1,10,7,13,2.15
Kv_Vb,atpB,20.0,2,4,5,10,1.25
Kv_Vb,atpH,2.0,1,1,2,1,-1.00
Kv_Vb,atpI,11.0,3,2,7,7,-0.64
Kv_Vb,clpC,10.0,1,1,4,3,-0.10
Kv_Vb,petA,49.0,4,8,13,16,1.20
Kv_Vb,petB,22.0,0,5,9,8,0.23
Kv_Vb,petD,28.0,0,7,11,13,0.79
Kv_Vb,psaA,19.0,2,4,11,4,-0.79
Kv_Vb,psaB,11.0,3,2,4,5,0.00
Kv_Vb,psbA,2.0,0,1,1,1,0.50
Kv_Vb,psbB,20.0,4,4,10,7,-0.35
Kv_Vb,psbC,4.0,0,4,1,4,5.25
Kv_Vb,psbD,29.0,25,2,28,7,-5.48
Kv_Vb,psbE,9.0,1,3,5,7,1.56
Kv_Vb,psbF,0.0,0,0,0,0,0.00
Kv_Vb,psbH,12.0,0,4,4,4,1.17
Kv_Vb,psbI,6.0,0,1,2,1,1.17
Kv_Vb,psbN,2.0,0,0,0,0,1.50
Kv_Vb,psbT,5.0,0,1,3,3,0.20
Kv_Vb,psbV,9.0,1,2,3,5,1.44
Kv_Vb,rpl14,13.0,4,3,7,6,-0.31
Kv_Vb,rpl16,13.0,1,6,3,7,2.15
Kv_Vb,rpl20,7.0,0,3,2,3,1.86
Kv_Vb,rpl27,6.0,0,1,0,1,0.67
Kv_Vb,rpl2,22.0,6,2,14,9,-1.45
Kv_Vb,rpl31,11.0,2,2,6,4,-0.82
Kv_Vb,rpl36,5.0,1,0,1,1,-0.40
Kv_Vb,rpl3,17.0,1,6,6,9,1.76
Kv_Vb,rpl5,17.0,5,3,9,6,-1.06
Kv_Vb,rpl6,12.0,3,1,5,5,-0.08
Kv_Vb,rpoA,19.0,1,1,4,4,0.21
Kv_Vb,rpoB,7.0,0,1,2,1,0.57
Kv_Vb,rpoC1,19.0,1,1,5,2,-0.42
Kv_Vb,rpoC2,17.0,2,3,5,6,0.59
Kv_Vb,rps11,3.0,1,0,1,1,-1.00
Kv_Vb,rps13,17.0,1,3,5,5,0.71
Kv_Vb,rps14,4.0,1,0,1,0,-0.75
Kv_Vb,rps16,7.0,1,1,4,3,-0.14
Kv_Vb,rps19,5.0,2,2,4,4,-0.40
Kv_Vb,rps2,40.0,3,3,13,13,0.00
Kv_Vb,rps3,26.0,7,2,11,7,-0.69
Kv_Vb,rps4,15.0,0,3,4,5,1.07
Kv_Vb,rps5,17.0,3,3,3,7,0.53
Kv_Vb,rps7,9.0,0,2,3,2,0.44
Kv_Vb,rps8,8.0,1,0,5,2,-1.50
Kv_Vb,secY,36.0,5,7,13,12,0.47
Kv_Vb,tufA,23.0,4,4,10,11,-0.04
Kv_Vb,ycf3,9.0,1,2,5,2,0.00
Kv_Vb,ycf4,24.0,3,4,9,5,-0.38
