,alignment position,genomic position,edited or not,positional entropy,average score difference
Pl_atpA,136,108,0,0.24,0
Pl_atpA,137,109,0,0.45,0
Pl_atpA,138,110,0,0.38,0
Pl_atpA,139,111,0,0.46,0
Pl_atpA,140,112,0,0.61,0
Pl_atpA,148,113,0,0.95,0
Pl_atpA,149,114,1,0.82,-0.83
Pl_atpA,150,115,0,0.73,0
Pl_atpA,151,116,0,1.00,0
Pl_atpA,152,117,0,0.73,0
Pl_atpA,153,118,0,0.45,0
Pl_atpA,154,119,0,0.95,0
Pl_atpA,155,120,0,1.00,0
Pl_atpA,156,121,0,0.95,0
Pl_atpA,157,122,0,1.00,0
Pl_atpA,158,123,0,0.85,0
Pl_atpA,159,124,0,0.52,0
Pl_atpA,160,125,0,1.00,0
Pl_atpA,161,126,0,0.66,0
Pl_atpA,162,127,0,1.00,0
Pl_atpA,163,128,0,1.00,0
Pl_atpA,164,129,0,0.80,0
Pl_atpA,165,130,0,0.95,0
Pl_atpA,166,131,0,1.00,0
Pl_atpA,167,132,0,0.67,0
Pl_atpA,168,133,0,0.92,0
Pl_atpA,169,134,0,1.00,0
Pl_atpA,170,135,0,1.00,0
Pl_atpA,171,136,0,0.82,0
Pl_atpA,172,137,0,0.74,0
Pl_atpA,173,138,0,0.85,0
Pl_atpA,174,139,0,0.95,0
Pl_atpA,175,140,0,1.00,0
Pl_atpA,176,141,0,0.77,0
Pl_atpA,177,142,0,0.95,0
Pl_atpA,178,143,0,1.00,0
Pl_atpA,179,144,0,1.00,0
Pl_atpA,180,145,0,0.92,0
Pl_atpA,181,146,0,1.00,0
Pl_atpA,182,147,0,1.00,0
Pl_atpA,183,148,0,1.00,0
Pl_atpA,184,149,0,0.95,0
Pl_atpA,185,150,0,1.00,0
Pl_atpA,186,151,0,1.00,0
Pl_atpA,187,152,0,1.00,0
Pl_atpA,188,153,0,1.00,0
Pl_atpA,189,154,0,1.00,0
Pl_atpA,190,155,0,1.00,0
Pl_atpA,191,156,0,1.00,0
Pl_atpA,192,157,1,1.00,3.00
Pl_atpA,193,158,0,1.00,0
Pl_atpA,194,159,0,1.00,0
Pl_atpA,195,160,0,1.00,0
Pl_atpA,196,161,0,1.00,0
Pl_atpA,197,162,0,0.89,0
Pl_atpA,198,163,0,0.77,0
Pl_atpA,199,164,0,0.77,0
Pl_atpA,200,165,0,0.95,0
Pl_atpA,201,166,0,0.60,0
Pl_atpA,202,167,0,1.00,0
Pl_atpA,203,168,0,0.95,0
Pl_atpA,204,169,0,1.00,0
Pl_atpA,205,170,0,0.80,0
Pl_atpA,206,171,0,1.00,0
Pl_atpA,207,172,0,0.95,0
Pl_atpA,208,173,0,0.82,0
Pl_atpA,209,174,0,0.58,0
Pl_atpA,210,175,0,0.66,0
Pl_atpA,211,176,1,0.70,3.87
Pl_atpA,212,177,0,0.95,0
Pl_atpA,213,178,0,0.73,0
Pl_atpA,214,179,0,0.95,0
Pl_atpA,215,180,0,0.92,0
Pl_atpA,216,181,0,1.00,0
Pl_atpA,217,182,1,0.87,0.87
Pl_atpA,218,183,0,0.84,0
Pl_atpA,219,184,0,0.87,0
Pl_atpA,220,185,0,1.00,0
Pl_atpA,221,186,0,1.00,0
Pl_atpA,222,187,0,0.92,0
Pl_atpA,223,188,0,1.00,0
Pl_atpA,224,189,0,0.84,0
Pl_atpA,225,190,0,0.80,0
Pl_atpA,226,191,0,0.92,0
Pl_atpA,227,192,0,0.90,0
Pl_atpA,228,193,0,0.67,0
Pl_atpA,229,194,0,0.69,0
Pl_atpA,230,195,0,0.85,0
Pl_atpA,231,196,0,0.51,0
Pl_atpA,232,197,0,0.40,0
Pl_atpA,233,198,0,0.95,0
Pl_atpA,234,199,0,0.47,0
Pl_atpA,235,200,1,0.78,0.93
Pl_atpA,236,201,0,0.68,0
Pl_atpA,237,202,0,0.71,0
Pl_atpA,238,203,0,0.95,0
Pl_atpA,239,204,0,0.73,0
Pl_atpA,240,205,0,0.43,0
Pl_atpA,241,206,0,0.90,0
Pl_atpA,242,207,0,0.95,0
Pl_atpA,243,208,0,0.72,0
Pl_atpA,244,209,0,0.85,0
Pl_atpA,245,210,0,0.95,0
Pl_atpA,246,211,0,0.67,0
Pl_atpA,247,212,0,0.84,0
Pl_atpA,248,213,0,0.68,0
Pl_atpA,249,214,0,1.00,0
Pl_atpA,250,215,0,0.77,0
Pl_atpA,251,216,1,0.53,3.83
Pl_atpA,252,217,0,0.79,0
Pl_atpA,253,218,0,1.00,0
Pl_atpA,254,219,0,0.78,0
Pl_atpA,255,220,1,0.92,0.00
Pl_atpA,256,221,0,1.00,0
Pl_atpA,257,222,0,1.00,0
Pl_atpA,258,223,1,0.82,-2.30
Pl_atpA,259,224,0,0.92,0
Pl_atpA,260,225,0,0.95,0
Pl_atpA,261,226,0,1.00,0
Pl_atpA,262,227,0,0.77,0
Pl_atpA,263,228,0,0.95,0
Pl_atpA,264,229,0,0.95,0
Pl_atpA,265,230,1,0.77,3.50
Pl_atpA,266,231,0,0.75,0
Pl_atpA,267,232,0,1.00,0
Pl_atpA,268,233,0,1.00,0
Pl_atpA,269,234,0,0.79,0
Pl_atpA,270,235,0,0.95,0
Pl_atpA,271,236,0,1.00,0
Pl_atpA,272,237,0,1.00,0
Pl_atpA,273,238,0,0.46,0
Pl_atpA,274,239,1,0.87,2.83
Pl_atpA,275,240,0,0.62,0
Pl_atpA,277,242,0,0.71,0
Pl_atpA,278,243,0,0.95,0
Pl_atpA,279,244,0,0.90,0
Pl_atpA,280,245,0,0.67,0
Pl_atpA,281,246,0,0.76,0
Pl_atpA,282,247,0,1.00,0
Pl_atpA,283,248,0,1.00,0
Pl_atpA,284,249,0,1.00,0
Pl_atpA,285,250,0,1.00,0
Pl_atpA,286,251,0,0.73,0
Pl_atpA,287,252,0,1.00,0
Pl_atpA,288,253,0,1.00,0
Pl_atpA,289,254,0,1.00,0
Pl_atpA,290,255,0,0.67,0
Pl_atpA,291,256,0,1.00,0
Pl_atpA,292,257,0,1.00,0
Pl_atpA,293,258,0,1.00,0
Pl_atpA,294,259,0,0.87,0
Pl_atpA,295,260,0,0.92,0
Pl_atpA,296,261,0,1.00,0
Pl_atpA,297,262,0,1.00,0
Pl_atpA,298,263,0,0.95,0
Pl_atpA,299,264,0,1.00,0
Pl_atpA,300,265,0,0.92,0
Pl_atpA,301,266,1,1.00,8.00
Pl_atpA,302,267,0,1.00,0
Pl_atpA,303,268,0,1.00,0
Pl_atpA,304,269,0,1.00,0
Pl_atpA,305,270,0,1.00,0
Pl_atpA,306,271,0,1.00,0
Pl_atpA,307,272,0,1.00,0
Pl_atpA,308,273,0,0.89,0
Pl_atpA,309,274,0,0.95,0
Pl_atpA,310,275,0,1.00,0
Pl_atpA,311,276,0,1.00,0
Pl_atpA,312,277,0,0.95,0
Pl_atpA,313,278,0,1.00,0
Pl_atpA,314,279,0,1.00,0
Pl_atpA,315,280,0,0.95,0
Pl_atpA,316,281,0,1.00,0
Pl_atpA,317,282,0,1.00,0
Pl_atpA,318,283,0,1.00,0
Pl_atpA,319,284,0,1.00,0
Pl_atpA,320,285,0,1.00,0
Pl_atpA,321,286,0,1.00,0
Pl_atpA,322,287,0,1.00,0
Pl_atpA,323,288,0,0.95,0
Pl_atpA,324,289,0,1.00,0
Pl_atpA,325,290,0,1.00,0
Pl_atpA,326,291,0,1.00,0
Pl_atpA,327,292,0,0.73,0
Pl_atpA,328,293,0,0.42,0
Pl_atpA,329,294,1,0.31,2.40
Pl_atpA,330,295,0,0.81,0
Pl_atpA,331,296,0,1.00,0
Pl_atpA,332,297,0,0.76,0
Pl_atpA,333,298,0,1.00,0
Pl_atpA,334,299,0,0.95,0
Pl_atpA,335,300,0,0.95,0
Pl_atpA,336,301,0,1.00,0
Pl_atpA,337,302,0,1.00,0
Pl_atpA,338,303,0,0.95,0
Pl_atpA,339,304,0,1.00,0
Pl_atpA,340,305,0,0.89,0
Pl_atpA,341,306,0,0.82,0
Pl_atpA,342,307,0,1.00,0
Pl_atpA,343,308,0,1.00,0
Pl_atpA,344,309,0,0.95,0
Pl_atpA,345,310,0,0.82,0
Pl_atpA,346,311,0,0.84,0
Pl_atpA,347,312,0,1.00,0
Pl_atpA,348,313,0,1.00,0
Pl_atpA,349,314,0,1.00,0
Pl_atpA,350,315,0,1.00,0
Pl_atpA,351,316,0,0.95,0
Pl_atpA,352,317,0,1.00,0
Pl_atpA,353,318,0,1.00,0
Pl_atpA,354,319,0,1.00,0
Pl_atpA,355,320,0,1.00,0
Pl_atpA,356,321,0,0.95,0
Pl_atpA,357,322,0,1.00,0
Pl_atpA,358,323,0,1.00,0
Pl_atpA,359,324,0,1.00,0
Pl_atpA,360,325,0,1.00,0
Pl_atpA,361,326,0,1.00,0
Pl_atpA,362,327,0,1.00,0
Pl_atpA,363,328,0,1.00,0
Pl_atpA,364,329,0,0.90,0
Pl_atpA,365,330,0,1.00,0
Pl_atpA,366,331,0,1.00,0
Pl_atpA,367,332,0,0.95,0
Pl_atpA,368,333,0,0.52,0
Pl_atpA,369,334,0,0.95,0
Pl_atpA,370,335,0,1.00,0
Pl_atpA,371,336,0,1.00,0
Pl_atpA,372,337,0,1.00,0
Pl_atpA,373,338,0,0.74,0
Pl_atpA,374,339,0,1.00,0
Pl_atpA,375,340,0,0.80,0
Pl_atpA,376,341,0,0.95,0
Pl_atpA,377,342,0,1.00,0
Pl_atpA,378,343,0,1.00,0
Pl_atpA,379,344,0,1.00,0
Pl_atpA,380,345,0,0.92,0
Pl_atpA,381,346,0,0.95,0
Pl_atpA,382,347,0,1.00,0
Pl_atpA,383,348,0,0.95,0
Pl_atpA,384,349,0,1.00,0
Pl_atpA,385,350,0,1.00,0
Pl_atpA,386,351,0,0.95,0
Pl_atpA,387,352,0,1.00,0
Pl_atpA,388,353,0,1.00,0
Pl_atpA,389,354,0,1.00,0
Pl_atpA,390,355,0,1.00,0
Pl_atpA,391,356,0,0.95,0
Pl_atpA,392,357,0,1.00,0
Pl_atpA,393,358,0,1.00,0
Pl_atpA,394,359,0,0.71,0
Pl_atpA,395,360,0,0.90,0
Pl_atpA,396,361,0,0.90,0
Pl_atpA,397,362,0,0.95,0
Pl_atpA,398,363,0,1.00,0
Pl_atpA,399,364,0,0.82,0
Pl_atpA,400,365,0,1.00,0
Pl_atpA,401,366,0,1.00,0
Pl_atpA,402,367,0,1.00,0
Pl_atpA,403,368,1,0.79,1.93
Pl_atpA,404,369,0,0.95,0
Pl_atpA,405,370,0,1.00,0
Pl_atpA,406,371,0,1.00,0
Pl_atpA,407,372,0,0.95,0
Pl_atpA,408,373,0,1.00,0
Pl_atpA,409,374,0,1.00,0
Pl_atpA,410,375,0,1.00,0
Pl_atpA,411,376,0,1.00,0
Pl_atpA,412,377,0,0.79,0
Pl_atpA,413,378,0,1.00,0
Pl_atpA,414,379,0,1.00,0
Pl_atpA,415,380,0,0.82,0
Pl_atpA,416,381,1,1.00,4.00
Pl_atpA,417,382,0,1.00,0
Pl_atpA,418,383,0,0.92,0
Pl_atpA,419,384,0,0.95,0
Pl_atpA,420,385,0,1.00,0
Pl_atpA,421,386,0,0.89,0
Pl_atpA,422,387,0,1.00,0
Pl_atpA,423,388,0,0.90,0
Pl_atpA,424,389,0,1.00,0
Pl_atpA,425,390,0,0.95,0
Pl_atpA,426,391,1,0.56,2.07
Pl_atpA,427,392,0,0.73,0
Pl_atpA,428,393,0,0.95,0
Pl_atpA,429,394,0,0.82,0
Pl_atpA,430,395,0,0.58,0
Pl_atpA,431,396,0,0.80,0
Pl_atpA,432,397,0,1.00,0
Pl_atpA,433,398,0,0.90,0
Pl_atpA,434,399,0,0.87,0
Pl_atpA,435,400,0,1.00,0
Pl_atpA,436,401,1,0.46,1.70
Pl_atpA,437,402,0,1.00,0
Pl_atpA,438,403,0,0.95,0
Pl_atpA,439,404,0,1.00,0
Pl_atpA,440,405,0,1.00,0
Pl_atpA,441,406,0,0.57,0
Pl_atpA,442,407,0,1.00,0
Pl_atpA,443,408,0,1.00,0
Pl_atpA,444,409,0,1.00,0
Pl_atpA,445,410,0,0.51,0
Pl_atpA,446,411,0,0.85,0
Pl_atpA,447,412,0,0.58,0
Pl_atpA,448,413,0,0.73,0
Pl_atpA,449,414,0,1.00,0
Pl_atpA,450,415,0,0.69,0
Pl_atpA,451,416,1,0.65,-0.47
Pl_atpA,452,417,0,0.92,0
Pl_atpA,453,418,0,0.70,0
Pl_atpA,454,419,0,0.78,0
Pl_atpA,455,420,0,1.00,0
Pl_atpA,456,421,0,0.65,0
Pl_atpA,457,422,0,0.90,0
Pl_atpA,458,423,1,0.48,-0.23
Pl_atpA,459,424,0,0.92,0
Pl_atpA,460,425,0,0.90,0
Pl_atpA,461,426,0,0.59,0
Pl_atpA,462,427,0,0.95,0
Pl_atpA,463,428,0,0.70,0
Pl_atpA,464,429,0,0.73,0
Pl_atpA,465,430,0,1.00,0
Pl_atpA,466,431,0,0.68,0
Pl_atpA,467,432,1,0.95,1.00
Pl_atpA,468,433,0,0.95,0
Pl_atpA,469,434,0,0.48,0
Pl_atpA,470,435,0,0.66,0
Pl_atpA,471,436,1,0.49,1.33
Pl_atpA,472,437,0,0.61,0
Pl_atpA,473,438,0,0.34,0
Pl_atpA,474,439,1,0.45,0.37
Pl_atpA,475,440,0,0.80,0
Pl_atpA,476,441,0,0.37,0
Pl_atpA,477,442,1,0.28,-0.17
Pl_atpA,478,443,0,0.80,0
Pl_atpA,479,444,0,0.40,0
Pl_atpA,480,445,0,0.24,0
Pl_atpA,481,446,0,0.31,0
Pl_atpA,482,447,0,0.82,0
Pl_atpA,483,448,0,0.73,0
Pl_atpA,493,449,0,0.69,0
Pl_atpA,494,450,0,0.56,0
Pl_atpA,495,451,0,0.60,0
Pl_atpA,496,452,0,0.38,0
Pl_atpA,497,453,0,0.70,0
Pl_atpA,498,454,0,0.30,0
Pl_atpA,499,455,1,0.58,2.03
Pl_atpA,500,456,0,0.35,0
Pl_atpA,501,457,0,0.65,0
Pl_atpA,502,458,0,0.39,0
Pl_atpA,503,459,0,0.61,0
Pl_atpA,504,460,0,0.60,0
Pl_atpA,505,461,0,0.77,0
Pl_atpA,506,462,1,0.53,1.27
Pl_atpA,507,463,1,0.69,0.90
Pl_atpA,508,464,0,0.42,0
Pl_atpA,509,465,0,0.39,0
Pl_atpA,510,466,1,0.60,1.50
Pl_atpA,511,467,0,0.58,0
Pl_atpA,512,468,0,0.85,0
Pl_atpB,13,6,0,0.46,0
Pl_atpB,14,7,1,0.33,1.37
Pl_atpB,15,8,0,0.18,0
Pl_atpB,16,9,0,0.46,0
Pl_atpB,17,10,0,0.34,0
Pl_atpB,18,11,0,0.30,0
Pl_atpB,19,12,1,0.43,1.73
Pl_atpB,20,13,0,0.30,0
Pl_atpB,21,14,0,0.92,0
Pl_atpB,22,15,0,0.39,0
Pl_atpB,23,16,1,0.70,1.30
Pl_atpB,24,17,0,0.45,0
Pl_atpB,25,18,1,0.92,1.00
Pl_atpB,26,19,0,0.77,0
Pl_atpB,43,20,1,0.92,-1.93
Pl_atpB,44,21,1,0.92,3.90
Pl_atpB,45,22,0,0.97,0
Pl_atpB,46,23,0,0.92,0
Pl_atpB,57,24,0,0.68,0
Pl_atpB,58,25,0,0.92,0
Pl_atpB,59,26,0,0.63,0
Pl_atpB,60,27,0,0.50,0
Pl_atpB,61,28,1,0.86,-0.87
Pl_atpB,64,31,1,0.65,0.90
Pl_atpB,65,32,1,0.48,-1.60
Pl_atpB,66,33,1,0.78,0.83
Pl_atpB,68,34,1,0.40,-0.30
Pl_atpB,69,35,1,0.70,3.40
Pl_atpB,70,36,1,0.92,-0.93
Pl_atpB,71,37,1,0.56,-2.60
Pl_atpB,72,38,1,0.64,-1.73
Pl_atpB,73,39,1,0.67,-4.67
Pl_atpB,74,40,1,0.70,0.93
Pl_atpB,75,41,1,0.79,-5.37
Pl_atpB,76,42,1,0.67,0.20
Pl_atpB,91,43,0,0.26,0
Pl_atpB,92,44,0,0.30,0
Pl_atpB,93,45,0,0.28,0
Pl_atpB,94,46,0,0.34,0
Pl_atpB,102,47,0,0.31,0
Pl_atpB,103,48,0,0.20,0
Pl_atpB,104,49,0,0.56,0
Pl_atpB,105,50,0,0.63,0
Pl_atpB,106,51,1,0.78,0.93
Pl_atpB,107,52,0,0.97,0
Pl_atpB,108,53,0,0.97,0
Pl_atpB,109,54,0,0.97,0
Pl_atpB,110,55,0,0.92,0
Pl_atpB,111,56,0,0.87,0
Pl_atpB,112,57,1,0.87,0.07
Pl_atpB,113,58,0,0.92,0
Pl_atpB,114,59,0,0.66,0
Pl_atpB,115,60,0,0.82,0
Pl_atpB,116,61,0,0.54,0
Pl_atpB,117,62,0,0.92,0
Pl_atpB,118,63,0,0.97,0
Pl_atpB,119,64,0,0.87,0
Pl_atpB,120,65,0,0.82,0
Pl_atpB,121,66,0,0.73,0
Pl_atpB,122,67,0,0.95,0
Pl_atpB,123,68,1,0.55,-2.77
Pl_atpB,124,69,0,0.61,0
Pl_atpB,125,70,0,0.95,0
Pl_atpB,126,71,0,0.77,0
Pl_atpB,127,72,0,1.00,0
Pl_atpB,128,73,0,0.87,0
Pl_atpB,129,74,0,0.54,0
Pl_atpB,130,75,0,0.95,0
Pl_atpB,131,76,0,0.90,0
Pl_atpB,132,77,0,0.39,0
Pl_atpB,133,78,0,0.46,0
Pl_atpB,134,79,0,0.72,0
Pl_atpB,135,80,1,0.44,0.87
Pl_atpB,136,81,0,0.82,0
Pl_atpB,137,82,0,0.73,0
Pl_atpB,138,83,1,0.70,1.10
Pl_atpB,139,84,0,0.51,0
Pl_atpB,141,86,0,0.82,0
Pl_atpB,142,87,0,0.85,0
Pl_atpB,143,88,0,0.60,0
Pl_atpB,144,89,0,0.95,0
Pl_atpB,145,90,1,1.00,11.00
Pl_atpB,146,91,1,1.00,1.00
Pl_atpB,147,92,0,1.00,0
Pl_atpB,148,93,0,0.35,0
Pl_atpB,149,94,0,0.31,0
Pl_atpB,150,95,1,0.90,4.63
Pl_atpB,151,96,1,0.95,0.93
Pl_atpB,152,97,0,1.00,0
Pl_atpB,153,98,0,1.00,0
Pl_atpB,154,99,0,1.00,0
Pl_atpB,155,100,0,0.90,0
Pl_atpB,156,101,0,1.00,0
Pl_atpB,157,102,0,0.87,0
Pl_atpB,158,103,0,0.82,0
Pl_atpB,159,104,0,1.00,0
Pl_atpB,160,105,0,0.63,0
Pl_atpB,161,106,0,0.87,0
Pl_atpB,162,107,0,0.80,0
Pl_atpB,163,108,0,1.00,0
Pl_atpB,276,219,0,0.65,0
Pl_atpB,277,220,0,0.68,0
Pl_atpB,278,221,0,0.85,0
Pl_atpB,279,222,0,0.40,0
Pl_atpB,280,223,1,0.61,-0.37
Pl_atpB,281,224,0,0.31,0
Pl_atpB,282,225,1,0.35,1.83
Pl_atpB,283,226,1,0.33,2.30
Pl_atpB,284,227,0,0.34,0
Pl_atpB,327,252,1,0.56,0.03
Pl_atpB,328,253,1,0.68,-1.97
Pl_atpB,329,254,1,0.95,10.67
Pl_atpB,330,255,0,1.00,0
Pl_atpB,331,256,0,1.00,0
Pl_atpB,332,257,0,0.84,0
Pl_atpB,333,258,0,0.33,0
Pl_atpB,334,259,0,0.79,0
Pl_atpB,335,260,0,0.95,0
Pl_atpB,336,261,0,0.56,0
Pl_atpB,337,262,0,0.90,0
Pl_atpB,338,263,0,0.58,0
Pl_atpB,339,264,0,0.60,0
Pl_atpB,340,265,0,0.95,0
Pl_atpB,341,266,0,0.76,0
Pl_atpB,342,267,1,0.90,5.33
Pl_atpB,343,268,1,0.61,0.73
Pl_atpB,344,269,0,0.78,0
Pl_atpB,345,270,1,0.82,-0.90
Pl_atpB,346,271,0,0.77,0
Pl_atpB,347,272,0,0.95,0
Pl_atpB,348,273,0,1.00,0
Pl_atpB,349,274,0,1.00,0
Pl_atpB,350,275,0,1.00,0
Pl_atpB,351,276,0,1.00,0
Pl_atpB,352,277,0,1.00,0
Pl_atpB,353,278,0,1.00,0
Pl_atpB,354,279,0,0.90,0
Pl_atpB,355,280,0,1.00,0
Pl_atpB,356,281,0,0.95,0
Pl_atpB,357,282,0,1.00,0
Pl_atpB,358,283,0,0.92,0
Pl_atpB,359,284,0,1.00,0
Pl_atpB,360,285,0,1.00,0
Pl_atpB,361,286,0,0.89,0
Pl_atpB,362,287,0,0.87,0
Pl_atpB,363,288,0,1.00,0
Pl_atpB,364,289,0,1.00,0
Pl_atpB,365,290,0,1.00,0
Pl_atpB,366,291,1,0.92,0.87
Pl_atpB,367,292,0,1.00,0
Pl_atpB,368,293,0,1.00,0
Pl_atpB,369,294,0,1.00,0
Pl_atpB,370,295,0,1.00,0
Pl_atpB,371,296,0,1.00,0
Pl_atpB,372,297,0,1.00,0
Pl_atpB,373,298,0,1.00,0
Pl_atpB,374,299,0,1.00,0
Pl_atpB,375,300,0,1.00,0
Pl_atpB,376,301,0,1.00,0
Pl_atpB,377,302,0,1.00,0
Pl_atpB,378,303,0,1.00,0
Pl_atpB,379,304,1,1.00,-1.00
Pl_atpB,380,305,0,1.00,0
Pl_atpB,381,306,0,1.00,0
Pl_atpB,382,307,0,1.00,0
Pl_atpB,383,308,0,1.00,0
Pl_atpB,384,309,0,1.00,0
Pl_atpB,385,310,0,0.95,0
Pl_atpB,386,311,0,1.00,0
Pl_atpB,387,312,0,0.90,0
Pl_atpB,388,313,0,1.00,0
Pl_atpB,389,314,0,0.84,0
Pl_atpB,390,315,0,0.87,0
Pl_atpB,391,316,0,0.95,0
Pl_atpB,392,317,0,0.95,0
Pl_atpB,393,318,0,1.00,0
Pl_atpB,394,319,0,0.92,0
Pl_atpB,395,320,0,1.00,0
Pl_atpB,396,321,0,0.95,0
Pl_atpB,397,322,0,1.00,0
Pl_atpB,398,323,0,0.80,0
Pl_atpB,399,324,0,1.00,0
Pl_atpB,400,325,0,0.95,0
Pl_atpB,401,326,0,0.95,0
Pl_atpB,402,327,0,1.00,0
Pl_atpB,403,328,0,1.00,0
Pl_atpB,404,329,0,0.95,0
Pl_atpB,405,330,0,1.00,0
Pl_atpB,406,331,0,1.00,0
Pl_atpB,407,332,0,0.95,0
Pl_atpB,408,333,0,0.95,0
Pl_atpB,409,334,0,1.00,0
Pl_atpB,410,335,0,1.00,0
Pl_atpB,411,336,0,1.00,0
Pl_atpB,412,337,0,0.39,0
Pl_atpB,413,338,0,1.00,0
Pl_atpB,414,339,0,1.00,0
Pl_atpB,415,340,0,0.78,0
Pl_atpB,416,341,0,0.95,0
Pl_atpB,417,342,0,0.95,0
Pl_atpB,418,343,0,0.78,0
Pl_atpB,419,344,0,0.95,0
Pl_atpB,420,345,0,1.00,0
Pl_atpB,425,346,0,0.68,0
Pl_atpB,426,347,1,0.63,-2.00
Pl_atpB,427,348,0,0.39,0
Pl_atpB,428,349,0,0.70,0
Pl_atpB,429,350,0,0.77,0
Pl_atpB,430,351,0,0.29,0
Pl_atpB,448,369,0,0.65,0
Pl_atpB,449,370,0,1.00,0
Pl_atpB,450,371,0,0.95,0
Pl_atpB,451,372,0,1.00,0
Pl_atpB,452,373,0,1.00,0
Pl_atpB,453,374,0,1.00,0
Pl_atpB,454,375,0,0.92,0
Pl_atpB,455,376,0,0.95,0
Pl_atpB,456,377,0,1.00,0
Pl_atpB,457,378,0,1.00,0
Pl_atpB,458,379,0,1.00,0
Pl_atpB,459,380,0,1.00,0
Pl_atpB,460,381,0,0.95,0
Pl_atpB,461,382,0,0.95,0
Pl_atpB,462,383,0,1.00,0
Pl_atpB,463,384,0,1.00,0
Pl_atpB,464,385,1,1.00,3.00
